"gs_name","gs_description"
"REACTOME_AGGREPHAGY","Aggrephagy"
"REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL","AKT phosphorylates targets in the cytosol"
"REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS","AKT phosphorylates targets in the nucleus"
"REACTOME_ALPHA_DEFENSINS","Alpha-defensins"
"REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM","alpha-linolenic (omega3) and linoleic (omega6) acid metabolism"
"REACTOME_ALPHA_OXIDATION_OF_PHYTANATE","Alpha-oxidation of phytanate"
"REACTOME_ALPHA_PROTEIN_KINASE_1_SIGNALING_PATHWAY","Alpha-protein kinase 1 signaling pathway"
"REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION","Alternative complement activation"
"REACTOME_AMINE_LIGAND_BINDING_RECEPTORS","Amine ligand-binding receptors"
"REACTOME_AMINO_ACID_CONJUGATION","Amino Acid conjugation"
"REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE","Amino acid transport across the plasma membrane"
"REACTOME_AMINO_ACIDS_REGULATE_MTORC1","Amino acids regulate mTORC1"
"REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY","AMPK inhibits chREBP transcriptional activation activity"
"REACTOME_AMYLOID_FIBER_FORMATION","Amyloid fiber formation"
"REACTOME_ANCHORING_FIBRIL_FORMATION","Anchoring fibril formation"
"REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE","Anchoring of the basal body to the plasma membrane"
"REACTOME_ANDROGEN_BIOSYNTHESIS","Androgen biosynthesis"
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION","Anti-inflammatory response favouring Leishmania parasite infection"
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"
"REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC","Antigen Presentation: Folding, assembly and peptide loading of class I MHC"
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION","Antigen processing-Cross presentation"
"REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION","Antigen processing: Ubiquitination & Proteasome degradation"
"REACTOME_ANTIMICROBIAL_PEPTIDES","Antimicrobial peptides"
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES","Antiviral mechanism by IFN-stimulated genes"
"REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B","APC/C:Cdc20 mediated degradation of Cyclin B"
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"
"REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS","APC/C-mediated degradation of cell cycle proteins"
"REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A","APC-Cdc20 mediated degradation of Nek2A"
"REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY","APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway"
"REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION","APOBEC3G mediated resistance to HIV-1 infection"
"REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION","Apoptosis induced DNA fragmentation"
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS","Apoptotic cleavage of cell adhesion  proteins"
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS","Apoptotic cleavage of cellular proteins"
"REACTOME_APOPTOTIC_EXECUTION_PHASE","Apoptotic execution phase"
"REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE","Apoptotic factor-mediated response"
"REACTOME_AQUAPORIN_MEDIATED_TRANSPORT","Aquaporin-mediated transport"
"REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG","Arachidonate production from DAG"
"REACTOME_ARACHIDONIC_ACID_METABOLISM","Arachidonic acid metabolism"
"REACTOME_ARMS_MEDIATED_ACTIVATION","ARMS-mediated activation"
"REACTOME_ARYL_HYDROCARBON_RECEPTOR_SIGNALLING","Aryl hydrocarbon receptor signalling"
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION","Asparagine N-linked glycosylation"
"REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM","Aspartate and asparagine metabolism"
"REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS","Assembly and cell surface presentation of NMDA receptors"
"REACTOME_ASSEMBLY_OF_ACTIVE_LPL_AND_LIPC_LIPASE_COMPLEXES","Assembly of active LPL and LIPC lipase complexes"
"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES","Assembly of collagen fibrils and other multimeric structures"
"REACTOME_ASSEMBLY_OF_THE_HIV_VIRION","Assembly Of The HIV Virion"
"REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION","Assembly of the ORC complex at the origin of replication"
"REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX","Assembly of the pre-replicative complex"
"REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS","Association of TriC/CCT with target proteins during biosynthesis"
"REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS","Asymmetric localization of PCP proteins"
"REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","ATF4 activates genes in response to endoplasmic reticulum  stress"
"REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONE_GENES","ATF6 (ATF6-alpha) activates chaperone genes"
"REACTOME_ATF6_ATF6_ALPHA_ACTIVATES_CHAPERONES","ATF6 (ATF6-alpha) activates chaperones"
"REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR","Attachment of GPI anchor to uPAR"
"REACTOME_ATTENUATION_PHASE","Attenuation phase"
"REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA","AUF1 (hnRNP D0) binds and destabilizes mRNA"
"REACTOME_AURKA_ACTIVATION_BY_TPX2","AURKA Activation by TPX2"
"REACTOME_AUTOPHAGY","Autophagy"
"REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION","B-WICH complex positively regulates rRNA expression"
"REACTOME_BASE_EXCISION_REPAIR","Base Excision Repair"
"REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION","Base-Excision Repair, AP Site Formation"
"REACTOME_BASIGIN_INTERACTIONS","Basigin interactions"
"REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM","BBSome-mediated cargo-targeting to cilium"
"REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING","Beta-catenin independent WNT signaling"
"REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE","Beta-catenin phosphorylation cascade"
"REACTOME_BETA_DEFENSINS","Beta defensins"
"REACTOME_BETA_OXIDATION_OF_BUTANOYL_COA_TO_ACETYL_COA","Beta oxidation of butanoyl-CoA to acetyl-CoA"
"REACTOME_BETA_OXIDATION_OF_DECANOYL_COA_TO_OCTANOYL_COA_COA","Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA"
"REACTOME_BETA_OXIDATION_OF_HEXANOYL_COA_TO_BUTANOYL_COA","Beta oxidation of hexanoyl-CoA to butanoyl-CoA"
"REACTOME_BETA_OXIDATION_OF_LAUROYL_COA_TO_DECANOYL_COA_COA","Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA"
"REACTOME_BETA_OXIDATION_OF_OCTANOYL_COA_TO_HEXANOYL_COA","Beta oxidation of octanoyl-CoA to hexanoyl-CoA"
"REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA","Beta-oxidation of pristanoyl-CoA"
"REACTOME_BETA_OXIDATION_OF_VERY_LONG_CHAIN_FATTY_ACIDS","Beta-oxidation of very long chain fatty acids"
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members"
"REACTOME_BICARBONATE_TRANSPORTERS","Bicarbonate transporters"
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","Bile acid and bile salt metabolism"
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS","Binding and Uptake of Ligands by Scavenger Receptors"
"REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS","Binding of TCF/LEF:CTNNB1 to target gene promoters"
"REACTOME_BIOLOGICAL_OXIDATIONS","Biological oxidations"
"REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS","Biosynthesis of EPA-derived SPMs"
"REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS","Biosynthesis of maresin-like SPMs"
"REACTOME_BIOSYNTHESIS_OF_MARESINS","Biosynthesis of maresins"
"REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS_","Biosynthesis of specialized proresolving mediators (SPMs)"
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"
"REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM","Biotin transport and metabolism"
"REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS","Blood group systems biosynthesis"
"REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION","BMAL1:CLOCK,NPAS2 activates circadian gene expression"
"REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM","Branched-chain amino acid catabolism"
"REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION","Budding and maturation of HIV virion"
"REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA","Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA"
"REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS","Butyrophilin (BTN) family interactions"
"REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS_","C-type lectin receptors (CLRs)"
"REACTOME_CA_DEPENDENT_EVENTS","Ca-dependent events"
"REACTOME_CA2_ACTIVATED_K_CHANNELS","Ca2+ activated K+ channels"
"REACTOME_CA2_PATHWAY","Ca2+ pathway"
"REACTOME_CALCINEURIN_ACTIVATES_NFAT","Calcineurin activates NFAT"
"REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS","Calcitonin-like ligand receptors"
"REACTOME_CALNEXIN_CALRETICULIN_CYCLE","Calnexin/calreticulin cycle"
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB","CaMK IV-mediated phosphorylation of CREB"
"REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN","Carboxyterminal post-translational modifications of tubulin"
"REACTOME_CARDIAC_CONDUCTION","Cardiac conduction"
"REACTOME_CARGO_CONCENTRATION_IN_THE_ER","Cargo concentration in the ER"
"REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS","Cargo recognition for clathrin-mediated endocytosis"
"REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE","Cargo trafficking to the periciliary membrane"
"REACTOME_CARNITINE_METABOLISM","Carnitine metabolism"
"REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND","Caspase activation via Death Receptors in the presence of ligand"
"REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND","Caspase activation via Dependence Receptors in the absence of ligand"
"REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY","Caspase activation via extrinsic apoptotic signalling pathway"
"REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS","Caspase-mediated cleavage of cytoskeletal proteins"
"REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS","Cation-coupled Chloride cotransporters"
"REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE","CD163 mediating an anti-inflammatory response"
"REACTOME_CD209_DC_SIGN_SIGNALING","CD209 (DC-SIGN) signaling"
"REACTOME_CD22_MEDIATED_BCR_REGULATION","CD22 mediated BCR regulation"
"REACTOME_CD28_CO_STIMULATION","CD28 co-stimulation"
"REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING","CD28 dependent PI3K/Akt signaling"
"REACTOME_CD28_DEPENDENT_VAV1_PATHWAY","CD28 dependent Vav1 pathway"
"REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX","CDC6 association with the ORC:origin complex"
"REACTOME_CELL_CELL_COMMUNICATION","Cell-Cell communication"
"REACTOME_CELL_CELL_JUNCTION_ORGANIZATION","Cell-cell junction organization"
"REACTOME_CELL_CYCLE","Cell Cycle"
"REACTOME_CELL_CYCLE_CHECKPOINTS","Cell Cycle Checkpoints"
"REACTOME_CELL_CYCLE_MITOTIC","Cell Cycle, Mitotic"
"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE","Cell death signalling via NRAGE, NRIF and NADE"
"REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS","Cell-extracellular matrix interactions"
"REACTOME_CELL_JUNCTION_ORGANIZATION","Cell junction organization"
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL","Cell surface interactions at the vascular wall"
"REACTOME_CELLULAR_HEXOSE_TRANSPORT","Cellular hexose transport"
"REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS","Cellular response to heat stress"
"REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA","Cellular response to hypoxia"
"REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI","Cellular responses to external stimuli"
"REACTOME_CELLULAR_SENESCENCE","Cellular Senescence"
"REACTOME_CGMP_EFFECTS","cGMP effects"
"REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY","Chaperone Mediated Autophagy"
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES","Chemokine receptors bind chemokines"
"REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX","Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex"
"REACTOME_CHL1_INTERACTIONS","CHL1 interactions"
"REACTOME_CHOLESTEROL_BIOSYNTHESIS","Cholesterol biosynthesis"
"REACTOME_CHOLINE_CATABOLISM","Choline catabolism"
"REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS","Chondroitin sulfate biosynthesis"
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM","Chondroitin sulfate/dermatan sulfate metabolism"
"REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION","ChREBP activates metabolic gene expression"
"REACTOME_CHROMATIN_MODIFYING_ENZYMES","Chromatin modifying enzymes"
"REACTOME_CHROMOSOME_MAINTENANCE","Chromosome Maintenance"
"REACTOME_CHYLOMICRON_ASSEMBLY","Chylomicron assembly"
"REACTOME_CHYLOMICRON_CLEARANCE","Chylomicron clearance"
"REACTOME_CHYLOMICRON_REMODELING","Chylomicron remodeling"
"REACTOME_CILIUM_ASSEMBLY","Cilium Assembly"
"REACTOME_CIRCADIAN_CLOCK","Circadian Clock"
"REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE_","Citric acid cycle (TCA cycle)"
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_","Class A/1 (Rhodopsin-like receptors)"
"REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS_","Class B/2 (Secretin family receptors)"
"REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS_","Class C/3 (Metabotropic glutamate/pheromone receptors)"
"REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION","Class I MHC mediated antigen processing & presentation"
"REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT","Class I peroxisomal membrane protein import"
"REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS","Clathrin-mediated endocytosis"
"REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION","CLEC7A (Dectin-1) induces NFAT activation"
"REACTOME_CLEC7A_DECTIN_1_SIGNALING","CLEC7A (Dectin-1) signaling"
"REACTOME_CLEC7A_INFLAMMASOME_PATHWAY","CLEC7A/inflammasome pathway"
"REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM","Cobalamin (Cbl, vitamin B12) transport and metabolism"
"REACTOME_COENZYME_A_BIOSYNTHESIS","Coenzyme A biosynthesis"
"REACTOME_COHESIN_LOADING_ONTO_CHROMATIN","Cohesin Loading onto Chromatin"
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES","Collagen biosynthesis and modifying enzymes"
"REACTOME_COLLAGEN_CHAIN_TRIMERIZATION","Collagen chain trimerization"
"REACTOME_COLLAGEN_DEGRADATION","Collagen degradation"
"REACTOME_COLLAGEN_FORMATION","Collagen formation"
"REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION","Common Pathway of Fibrin Clot Formation"
"REACTOME_COMPETING_ENDOGENOUS_RNAS_CERNAS_REGULATE_PTEN_TRANSLATION","Competing endogenous RNAs (ceRNAs) regulate PTEN translation"
"REACTOME_COMPLEMENT_CASCADE","Complement cascade"
"REACTOME_COMPLEX_I_BIOGENESIS","Complex I biogenesis"
"REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES","Condensation of Prometaphase Chromosomes"
"REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES","Condensation of Prophase Chromosomes"
"REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE","Conjugation of benzoate with glycine"
"REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER","Constitutive Signaling by Aberrant PI3K in Cancer"
"REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER","Constitutive Signaling by AKT1 E17K in Cancer"
"REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII","Constitutive Signaling by EGFRvIII"
"REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS","Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants"
"REACTOME_CONSTITUTIVE_SIGNALING_BY_OVEREXPRESSED_ERBB2","Constitutive Signaling by Overexpressed ERBB2"
"REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE","Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase"
"REACTOME_COOPERATION_OF_PDCL_PHLP1_AND_TRIC_CCT_IN_G_PROTEIN_BETA_FOLDING","Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding"
"REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING","Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding"
"REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC","COPI-dependent Golgi-to-ER retrograde traffic"
"REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC","COPI-independent Golgi-to-ER retrograde traffic"
"REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT","COPI-mediated anterograde transport"
"REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT","COPII-mediated vesicle transport"
"REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY","Costimulation by the CD28 family"
"REACTOME_CREATINE_METABOLISM","Creatine metabolism"
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS","Creation of C4 and C2 activators"
"REACTOME_CREB_PHOSPHORYLATION","CREB phosphorylation"
"REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING","CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling"
"REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_ADENYLATE_CYCLASE","CREB1 phosphorylation through the activation of Adenylate Cyclase"
"REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE","CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde"
"REACTOME_CREB3_FACTORS_ACTIVATE_GENES","CREB3 factors activate genes"
"REACTOME_CRISTAE_FORMATION","Cristae formation"
"REACTOME_CRMPS_IN_SEMA3A_SIGNALING","CRMPs in Sema3A signaling"
"REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES_","Cross-presentation of particulate exogenous antigens (phagosomes)"
"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES_","Cross-presentation of soluble exogenous antigens (endosomes)"
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS","Crosslinking of collagen fibrils"
"REACTOME_CS_DS_DEGRADATION","CS/DS degradation"
"REACTOME_CTLA4_INHIBITORY_SIGNALING","CTLA4 inhibitory signaling"
"REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION","Cyclin A/B1/B2 associated events during G2/M transition"
"REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY","Cyclin A:Cdk2-associated events at S phase entry"
"REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1","Cyclin D associated events in G1"
"REACTOME_CYP2E1_REACTIONS","CYP2E1 reactions"
"REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE","Cytochrome c-mediated apoptotic response"
"REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE","Cytochrome P450 - arranged by substrate type"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM","Cytokine Signaling in Immune system"
"REACTOME_CYTOSOLIC_IRON_SULFUR_CLUSTER_ASSEMBLY","Cytosolic iron-sulfur cluster assembly"
"REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA_","Cytosolic sensors of pathogen-associated DNA "
"REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES","Cytosolic sulfonation of small molecules"
"REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION","Cytosolic tRNA aminoacylation"
"REACTOME_DAG_AND_IP3_SIGNALING","DAG and IP3 signaling"
"REACTOME_DAP12_INTERACTIONS","DAP12 interactions"
"REACTOME_DAP12_SIGNALING","DAP12 signaling"
"REACTOME_DARPP_32_EVENTS","DARPP-32 events"
"REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING","DCC mediated attractive signaling"
"REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA","DDX58/IFIH1-mediated induction of interferon-alpha/beta"
"REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX","Deactivation of the beta-catenin transactivating complex"
"REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY","Deadenylation-dependent mRNA decay"
"REACTOME_DEADENYLATION_OF_MRNA","Deadenylation of mRNA"
"REACTOME_DEATH_RECEPTOR_SIGNALLING","Death Receptor Signalling"
"REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING","Dectin-1 mediated noncanonical NF-kB signaling"
"REACTOME_DECTIN_2_FAMILY","Dectin-2 family"
"REACTOME_DEFECTIVE_B4GALT1_CAUSES_B4GALT1_CDG_CDG_2D_","Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)"
"REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE","Defective B4GALT7 causes EDS, progeroid type"
"REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS_","Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)"
"REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS","Defective CFTR causes cystic fibrosis"
"REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE","Defective CHST14 causes EDS, musculocontractural type"
"REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD","Defective CHST3 causes SEDCJD"
"REACTOME_DEFECTIVE_CHST6_CAUSES_MCDC1","Defective CHST6 causes MCDC1"
"REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS","Defective CHSY1 causes TPBS"
"REACTOME_DEFECTIVE_CSF2RB_CAUSES_PULMONARY_SURFACTANT_METABOLISM_DYSFUNCTION_5_SMDP5_","Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5)"
"REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2","Defective EXT2 causes exostoses 2"
"REACTOME_DEFECTIVE_F9_ACTIVATION","Defective F9 activation"
"REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B","Defective factor IX causes hemophilia B"
"REACTOME_DEFECTIVE_FACTOR_VIII_CAUSES_HEMOPHILIA_A","Defective factor VIII causes hemophilia A"
"REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC_","Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)"
"REACTOME_DEFECTIVE_LFNG_CAUSES_SCDO3","Defective LFNG causes SCDO3"
"REACTOME_DEFECTIVE_ST3GAL3_CAUSES_MCT12_AND_EIEE15","Defective ST3GAL3 causes MCT12 and EIEE15"
"REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM","Defects in biotin (Btn) metabolism"
"REACTOME_DEFECTS_IN_COBALAMIN_B12_METABOLISM","Defects in cobalamin (B12) metabolism"
"REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM","Defects in vitamin and cofactor metabolism"
